num_timesteps,left_shift_pct,reward_mean,optimality_gap
0.0184,20.04891304347826,0.3309366323550542,0.37791044776119403
0.0192,19.963541666666668,0.32819832930962245,0.3843283582089552
0.02,20.080000000000002,0.3266876219958067,0.38353233830845773
0.0288,20.006944444444443,0.328127798885107,0.3806965174129353
0.0312,19.92628205128205,0.3259075483431419,0.38169154228855723
0.032,19.9125,0.32648137082656226,0.38333333333333336
0.0352,19.62215909090909,0.3392789524545272,0.3875621890547264
0.044,19.386363636363637,0.3366518646478653,0.3715422885572139
0.0456,19.403508771929825,0.33469429329037664,0.3681592039800995
0.0472,19.389830508474574,0.33404942162334916,0.3629850746268657
0.048,19.354166666666668,0.3356510849048694,0.3625373134328358
0.0488,19.34426229508197,0.33746303267776967,0.35880597014925375
0.0536,19.257462686567166,0.33826799956460796,0.3435820895522388
0.0592,19.24831081081081,0.34493666847546894,0.3297014925373134
0.0624,19.237179487179485,0.34549819740156335,0.33159203980099505
0.0696,19.176724137931032,0.34784492758413155,0.32218905472636816
0.0808,18.98391089108911,0.3531253729512294,0.30885572139303485
0.0816,18.964460784313726,0.35525957562029364,0.30577114427860697
0.0824,18.942961165048544,0.35842010321716467,0.3061194029850746
0.084,18.85,0.3637626962612073,0.3056716417910448
0.0944,18.491525423728813,0.3657759315520525,0.29781094527363183
0.0952,18.461134453781515,0.3668761283407609,0.2974626865671642
0.0968,18.367768595041323,0.3667711349080006,0.29621890547263685
0.0984,18.3109756097561,0.36970749648908774,0.29771144278606965
0.1048,18.032442748091604,0.371097605501612,0.2850248756218905
0.116,17.519827586206898,0.3817803219209115,0.2687064676616915
0.1216,17.330592105263158,0.377150798762838,0.26412935323383085
0.1248,17.220352564102566,0.3830799053857724,0.2598507462686567
0.1288,17.069099378881987,0.3802485904842615,0.2511940298507463
0.1352,16.829881656804734,0.3859307753294706,0.24034825870646764
0.136,16.790441176470587,0.38931387193500994,0.23850746268656717
0.14,16.64857142857143,0.39520099478463333,0.2304477611940298
0.1408,16.612926136363637,0.39563320827980836,0.2298507462686567
0.1424,16.54494382022472,0.3936430081476768,0.2316915422885572
0.1456,16.423763736263737,0.3903528812279304,0.23114427860696515
0.1464,16.3948087431694,0.39213753687838715,0.22890547263681588
0.1472,16.360733695652176,0.3934852581471205,0.2288557213930348
0.1504,16.206117021276594,0.39578337155282495,0.22935323383084577
0.1528,16.102748691099478,0.39529669754207136,0.23159203980099502
0.16,15.763750000000002,0.4029360964645942,0.2288557213930348
0.1704,15.321596244131456,0.40696562426785626,0.21134328358208956
0.1728,15.232060185185183,0.4054761574914058,0.20606965174129357
0.1848,14.749458874458874,0.40476094317932926,0.20109452736318406
0.1872,14.644764957264957,0.40344233366350335,0.20208955223880593
0.1888,14.593220338983052,0.4060884331415097,0.2009452736318408
0.1896,14.558016877637131,0.40840410999953747,0.20119402985074628
0.1904,14.52783613445378,0.4073380680133899,0.19955223880597014
0.1976,14.244939271255062,0.4136468110730251,0.18358208955223881
0.2008,14.112549800796812,0.4119468764215708,0.17452736318407963
0.2144,13.579757462686567,0.4218174167722464,0.16318407960199005
0.2208,13.346467391304348,0.4221810631205638,0.1554228855721393
0.2368,12.762668918918918,0.4246533926079671,0.1427363184079602
0.24,12.64625,0.4299101624637842,0.13930348258706465
0.2488,12.327572347266882,0.4314312400172154,0.1208955223880597
0.2496,12.300080128205128,0.4312370788802703,0.12004975124378107
0.2608,11.942484662576687,0.42882344889144103,0.10492537313432834
0.2632,11.866641337386017,0.43294897235929963,0.10547263681592041
0.2712,11.614306784660767,0.4321088798592488,0.09691542288557212
0.2856,11.174019607843137,0.42513540672759215,0.09651741293532336
0.2944,10.93274456521739,0.43484433290859065,0.08895522388059703
0.2952,10.910569105691057,0.4347762498507897,0.087363184079602
0.2984,10.83411528150134,0.4354797228922447,0.08427860696517414
0.3008,10.776595744680852,0.4319703957686822,0.08293532338308458
0.3016,10.758289124668435,0.4324266527841489,0.0828358208955224
0.304,10.69967105263158,0.4372801529119412,0.08238805970149253
0.308,10.597077922077922,0.43437669701874254,0.08268656716417909
0.3096,10.557493540051679,0.4350941527634859,0.08303482587064674
0.3168,10.381944444444445,0.43292092415193717,0.08457711442786069
0.3304,10.078087167070219,0.44031471736729144,0.08054726368159205
0.3328,10.025841346153847,0.4393945301324129,0.0807960199004975
0.3416,9.865339578454332,0.431526799723506,0.09875621890547262
0.3424,9.849883177570092,0.43053684013585247,0.10189054726368159
0.3456,9.8125,0.4050052797049284,0.11487562189054726
0.3576,9.706375838926174,0.376257124170661,0.17840796019900496
0.3632,9.65170704845815,0.38289422723154226,0.18014925373134327
0.364,9.646703296703297,0.3825420915335417,0.17875621890547264
0.3696,9.602272727272727,0.3902415860444307,0.16273631840796018
0.3728,9.57162017167382,0.3911202245702346,0.16059701492537315
0.3816,9.483490566037736,0.3986440024524927,0.15427860696517412
0.384,9.461197916666666,0.3916373163710038,0.15233830845771146
0.3864,9.438923395445133,0.4076172827432553,0.15
0.3872,9.433109504132231,0.40695380749801796,0.14721393034825872
0.3976,9.323943661971832,0.41931787235041457,0.12761194029850748
0.4,9.303500000000001,0.41524006428817906,0.12293532338308462
0.4032,9.271329365079366,0.423456053212285,0.11855721393034828
0.4064,9.238188976377954,0.4249770810951789,0.1164676616915423
0.408,9.221323529411766,0.4250304851184289,0.11517412935323383
0.4096,9.205322265625,0.4267002695053816,0.11323383084577117
0.4136,9.161508704061895,0.4293956097215414,0.11099502487562188
0.4168,9.12619961612284,0.4274224377423525,0.11000000000000001
