num_timesteps,left_shift_pct,optimality_gap,reward_mean
0.0136,0,0.9516915422885572,0.0030840017378330233
0.02,0,0.9275621890547263,0.0034220697820186614
0.0208,0,0.9224875621890549,0.003435440331697464
0.036,0,0.9500497512437811,0.0034140916138887404
0.0384,0,0.9371641791044775,0.003956900122761726
0.0664,0,0.8782587064676617,0.005100590991973877
0.0736,0,0.8833830845771145,0.004546269738674164
0.0776,0,0.8838805970149254,0.004601259446144104
0.0816,0,0.8727363184079602,0.005281775057315826
0.0872,0,0.859502487562189,0.005934070032835007
0.0888,0,0.8601990049751244,0.006047665959596634
0.1016,0,0.8018407960199004,0.008061845040321352
0.1056,0,0.7950248756218906,0.008461325812339783
0.108,0,0.7832338308457711,0.008960637378692628
0.124,0,0.7542786069651741,0.011094949269294739
0.1248,0,0.7588557213930349,0.0106187566280365
0.1488,0,0.7512935323383084,0.011221086847782136
0.1496,0,0.7599004975124377,0.010586533510684967
0.1552,0,0.7259701492537314,0.011948975777626037
0.168,0,0.6950248756218904,0.0157867529630661
0.1688,0,0.6923880597014925,0.016279613280296323
0.1736,0,0.682636815920398,0.017384346580505368
0.1896,0,0.6217910447761195,0.023466865205764773
0.204,0,0.5826865671641791,0.02922815265655517
0.208,0,0.5649751243781095,0.03233359146118164
0.2176,0,0.5564179104477611,0.031048545026779173
0.2216,0,0.5585572139303483,0.030693490934371948
0.2328,0,0.5285572139303483,0.03913816499710083
0.236,0,0.5113432835820897,0.04408595399856567
0.2432,0,0.4713930348258707,0.054737306594848635
0.2464,0,0.4734825870646766,0.054728418540954595
0.2512,0,0.4512437810945274,0.06099556655883789
0.2536,0,0.43980099502487563,0.06452623920440673
0.2544,0,0.43651741293532337,0.06568598613739014
0.2584,0,0.429502487562189,0.067368701171875
0.2608,0,0.41034825870646763,0.07490372123718261
0.264,0,0.39646766169154224,0.08093490409851076
0.2824,0,0.29318407960199,0.15064276351928713
0.2992,0,0.2714427860696517,0.1695410499572754
0.3032,0,0.26278606965174134,0.18081505126953124
0.3072,0,0.24124378109452732,0.20698133316040038
0.3096,0,0.22800995024875625,0.2236306167602539
0.3184,0,0.20587064676616915,0.2512860992431641
0.32,0,0.20492537313432835,0.2525539520263672
0.3216,0,0.2099502487562189,0.24526193008422853
0.3264,0,0.22243781094527365,0.22809052276611327
0.328,0,0.224726368159204,0.22581039810180664
0.3304,0,0.23004975124378113,0.21854831848144532
0.3368,0,0.237363184079602,0.21139445724487307
0.3392,0,0.22845771144278607,0.22380299758911132
0.3432,0,0.2227363184079602,0.23122855377197263
