num_timesteps,left_shift_pct,optimality_gap,reward_mean
0.9808,28.35644371941272,0.12726368159203977,0.004876078712940216
0.9864,28.364152473641525,0.11547263681592039,0.0077977574467659
0.9944,28.375804505229286,0.10328358208955227,0.014097883772850036
1.0,28.3837,0.09328358208955226,0.01981523733139038
1.0112,28.40595332278481,0.08562189054726368,0.024250998783111575
1.0168,28.416502753737216,0.08835820895522388,0.0246611008644104
1.0192,28.420427786499214,0.08850746268656717,0.02503931550979614
1.02,28.42205882352941,0.08870646766169156,0.024939955806732177
1.0208,28.422805642633232,0.08870646766169156,0.024939955806732177
1.0312,28.434639255236615,0.08766169154228856,0.027197001361846922
1.032,28.435755813953488,0.08746268656716419,0.027476093769073485
1.0352,28.437693199381762,0.08323383084577116,0.029678681945800783
1.0376,28.440535851966075,0.07965174129353234,0.031511505985260015
1.0472,28.448529411764707,0.07517412935323385,0.038300940608978276
1.0744,28.4566269545793,0.07482587064676618,0.04499502315521241
1.0784,28.453913204747778,0.07278606965174132,0.04623228740692138
1.0912,28.459860703812318,0.07179104477611946,0.047224919795989986
1.1,28.46318181818182,0.0695522388059702,0.04641583862304687
1.1072,28.464143786127167,0.07880597014925374,0.04247532997131347
1.1112,28.460583153347734,0.09223880597014925,0.039736190795898435
1.1128,28.458213515456503,0.0935323383084577,0.03974332103729248
1.12,28.458303571428573,0.08930348258706468,0.04150977096557617
1.1264,28.463600852272723,0.08572139303482591,0.041454509449005125
1.1288,28.461552090715802,0.08422885572139308,0.0411043999671936
1.1328,28.460275423728813,0.08681592039800999,0.03990766048431396
1.1368,28.462702322308232,0.08422885572139306,0.040073938369750976
1.144,28.462587412587414,0.08796019900497513,0.038396398544311525
1.1488,28.46491991643454,0.08830845771144279,0.0382834059715271
1.1496,28.465466249130134,0.09064676616915424,0.036973550558090214
1.1536,28.469140083217752,0.1037313432835821,0.030006047773361206
1.1544,28.470460845460842,0.10587064676616915,0.029086258029937744
1.1584,28.480576657458563,0.10935323383084579,0.026652280151844027
1.1592,28.482574189095928,0.10895522388059704,0.026711819946765896
1.1608,28.48638869745003,0.10641791044776121,0.027813131821155544
1.164,28.49656357388316,0.10248756218905478,0.02933343478441238
1.1656,28.499313658201785,0.09552238805970154,0.033057865297794344
1.1688,28.508555783709788,0.08363184079601994,0.039515975701808925
1.1704,28.513072453861927,0.07552238805970155,0.04323105555772781
1.1864,28.566503708698583,0.06965174129353238,0.04646598243713378
1.2,28.60816666666667,0.06741293532338313,0.04747883129119873
1.2096,28.63979828042328,0.06746268656716423,0.04747229804992676
1.2104,28.642267019167218,0.06756218905472641,0.047470583534240725
1.2112,28.64481505944518,0.06815920398009954,0.047156549072265616
1.2136,28.651450230718524,0.06815920398009954,0.047265913772583004
1.2224,28.670484293193716,0.07412935323383088,0.04466123275756836
1.2296,28.678919973975276,0.08497512437810946,0.03901084289550781
1.2312,28.680799220272906,0.09467661691542288,0.03581868377327919
1.2376,28.688348416289593,0.1381094527363184,0.024029512387514114
1.2432,28.69650900900901,0.13228855721393035,0.027924945813417434
1.2528,28.705938697318008,0.08313432835820898,0.042973840475082396
1.256,28.7078025477707,0.07373134328358213,0.04541800346374512
1.2608,28.71105647208122,0.07268656716417915,0.04630765705108642
1.2648,28.709203036053133,0.070497512437811,0.04753752574920654
1.2688,28.71019861286255,0.072089552238806,0.04727217121124268
1.2696,28.709751102709514,0.072089552238806,0.04727217121124268
1.2712,28.70814977973568,0.07184079601990054,0.04757894496917724
1.2848,28.69995330012453,0.06830845771144287,0.0477119815826416
1.2912,28.701982651796776,0.06960199004975132,0.04709258918762207
1.2944,28.70310568603214,0.06845771144278615,0.04772018966674804
1.3008,28.70226014760148,0.07298507462686572,0.04134413385391235
1.308,28.699311926605503,0.08338308457711444,0.03400811777114868
1.3104,28.698336385836388,0.08771144278606964,0.031762028789520266
1.3176,28.6907255616272,0.08681592039800998,0.03812521905899048
1.3216,28.693023607748184,0.08383084577114432,0.040990820884704585
1.328,28.69676204819277,0.07756218905472642,0.0439579776763916
1.3368,28.6923249551167,0.06845771144278613,0.04800611705780029
1.34,28.691492537313433,0.06970149253731348,0.04767770614624023
1.3424,28.692193087008345,0.0695024875621891,0.04790806427001953
1.344,28.69188988095238,0.06890547263681598,0.04822209873199463
1.3464,28.691696375519903,0.06835820895522395,0.048534502792358394
1.3544,28.684805079740105,0.06706467661691548,0.0488458791732788
